patch_id,FIA_Group,patch_acres,acres,num_patches
13960,Oak/Hickory,15,1690645,3797
13962,Oak/Hickory,16,1690645,3797
13963,Oak/Hickory,77,1690645,3797
13966,Oak/Hickory,16,1690645,3797
13967,Oak/Pine,30,95892,352
13968,Pinyon/Juniper,61,283,7
13968,Oak/Hickory,619,1690645,3797
13969,Oak/Hickory,15,1690645,3797
13972,Oak/Hickory,15,1690645,3797
13975,Oak/Hickory,16,1690645,3797
13978,Oak/Hickory,15,1690645,3797
13982,Loblolly/Shortleaf Pine,47,375404,818
13982,Oak/Hickory,466,1690645,3797
13983,Elm/Ash/Cottonwood,15,18885,248
13985,Oak/Hickory,16,1690645,3797
13986,Oak/Hickory,61,1690645,3797
13987,Oak/Hickory,140,1690645,3797
13988,Oak/Hickory,75,1690645,3797
13989,Oak/Hickory,15,1690645,3797
13990,Oak/Hickory,248,1690645,3797
13990,Elm/Ash/Cottonwood,155,18885,248
13998,Oak/Hickory,15,1690645,3797
13999,Oak/Hickory,16,1690645,3797
14001,Oak/Hickory,15,1690645,3797
14007,Oak/Hickory,16,1690645,3797
14009,Oak/Hickory,77,1690645,3797
14010,Oak/Hickory,91,1690645,3797
14011,Oak/Hickory,15,1690645,3797
14013,Maple/Beech/Birch,15,116427,163
14015,Oak/Hickory,30,1690645,3797
14017,Oak/Pine,15,95892,352
14017,Oak/Hickory,386,1690645,3797
14018,Oak/Hickory,234,1690645,3797
14019,Oak/Hickory,48,1690645,3797
14021,Oak/Hickory,15,1690645,3797
14022,Oak/Hickory,16,1690645,3797
14023,Maple/Beech/Birch,15,116427,163
14026,Oak/Hickory,15,1690645,3797
14027,Oak/Hickory,15,1690645,3797
14030,Oak/Hickory,15,1690645,3797
14032,Oak/Hickory,30,1690645,3797
14033,Oak/Hickory,0,1690645,3797
14034,Oak/Hickory,16,1690645,3797
14036,Oak/Hickory,77,1690645,3797
14037,Maple/Beech/Birch,61,116427,163
14039,Oak/Hickory,15,1690645,3797
14040,Oak/Hickory,46,1690645,3797
14042,Oak/Hickory,62,1690645,3797
14043,Oak/Hickory,15,1690645,3797
14044,Oak/Hickory,31,1690645,3797
14045,Oak/Hickory,157,1690645,3797
14046,Oak/Hickory,16,1690645,3797
14049,Oak/Hickory,15,1690645,3797
14050,Oak/Hickory,1161,1690645,3797
14050,Elm/Ash/Cottonwood,46,18885,248
14053,Oak/Hickory,63,1690645,3797
14054,Oak/Hickory,16,1690645,3797
14055,Oak/Hickory,15,1690645,3797
14057,Oak/Hickory,171,1690645,3797
14058,Oak/Hickory,76,1690645,3797
14059,Oak/Hickory,15,1690645,3797
14060,Oak/Hickory,62,1690645,3797
14061,Oak/Hickory,249,1690645,3797
14062,Oak/Hickory,15,1690645,3797
14065,Oak/Hickory,122,1690645,3797
14068,Oak/Hickory,15,1690645,3797
14069,Oak/Hickory,45,1690645,3797
14071,Maple/Beech/Birch,15,116427,163
14072,Oak/Hickory,31,1690645,3797
14073,Oak/Hickory,16,1690645,3797
14074,Oak/Hickory,661,1690645,3797
14078,Oak/Hickory,46,1690645,3797
14079,Oak/Hickory,680,1690645,3797
14079,Maple/Beech/Birch,16,116427,163
14080,Oak/Hickory,47,1690645,3797
14081,Oak/Hickory,198,1690645,3797
14081,Maple/Beech/Birch,16,116427,163
14083,Oak/Hickory,15,1690645,3797
14084,Oak/Hickory,15,1690645,3797
14085,Oak/Hickory,124,1690645,3797
14088,Oak/Hickory,15,1690645,3797
14088,Maple/Beech/Birch,16,116427,163
14089,Oak/Hickory,32,1690645,3797
14092,Oak/Hickory,636,1690645,3797
14094,Oak/Hickory,15,1690645,3797
14095,Loblolly/Shortleaf Pine,153,375404,818
