patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
12678,Mixed Upland Hardwoods,203,949111,3291
12678,Sugar Maple / Beech / Yellow Birch,16,38274,63
12679,Eastern White Pine,15,559,9
12679,Eastern Redcedar / Hardwood,46,1448,24
12679,Sweetgum / Yellow-poplar,125,512092,300
12679,Black Cherry,94,77569,93
12681,Sweetgum / Yellow-poplar,8,512092,300
12682,Sweetgum / Yellow-poplar,15,512092,300
12683,Mixed Upland Hardwoods,16,949111,3291
12685,White Oak / Red Oak / Hickory,31,115120,329
12685,Mixed Upland Hardwoods,16,949111,3291
12686,Mixed Upland Hardwoods,16,949111,3291
12687,Yellow-poplar,248,30149,211
12687,Mixed Upland Hardwoods,90,949111,3291
12688,Mixed Upland Hardwoods,91,949111,3291
12689,Mixed Upland Hardwoods,15,949111,3291
12691,Sweetgum / Yellow-poplar,137,512092,300
12691,Mixed Upland Hardwoods,185,949111,3291
12694,White Oak / Red Oak / Hickory,110,115120,329
12695,Chestnut Oak,61,32022,87
12695,Yellow-poplar,16,30149,211
12696,Post Oak / Blackjack Oak,30,8206,99
12696,Yellow-poplar / White Oak / Red Oak,16,16541,139
12696,Yellow-poplar,122,30149,211
12696,Mixed Upland Hardwoods,509,949111,3291
12697,Mixed Upland Hardwoods,293,949111,3291
12698,White Oak / Red Oak / Hickory,15,115120,329
12698,Sweetgum / Yellow-poplar,38,512092,300
12698,Mixed Upland Hardwoods,15,949111,3291
12699,White Oak / Red Oak / Hickory,16,115120,329
12700,Mixed Upland Hardwoods,140,949111,3291
12701,Mixed Upland Hardwoods,16,949111,3291
12705,Mixed Upland Hardwoods,31,949111,3291
12706,Mixed Upland Hardwoods,16,949111,3291
12708,Mixed Upland Hardwoods,15,949111,3291
12710,Sweetgum / Yellow-poplar,31,512092,300
12710,Mixed Upland Hardwoods,15,949111,3291
12711,Mixed Upland Hardwoods,47,949111,3291
12712,Mixed Upland Hardwoods,16,949111,3291
12713,Yellow-poplar,33,30149,211
12713,Mixed Upland Hardwoods,46,949111,3291
12714,Mixed Upland Hardwoods,16,949111,3291
12715,Eastern Redcedar,30,283,7
12715,White Oak / Red Oak / Hickory,109,115120,329
12715,Mixed Upland Hardwoods,693,949111,3291
12715,Black Ash / American Elm / Red Maple,260,6349,106
12715,River Birch / Sycamore,29,1228,16
12715,Sugar Maple / Beech / Yellow Birch,79,38274,63
12716,Other Pine / Hardwood,15,1298,10
12716,Black Cherry,15,77569,93
12717,White Oak / Red Oak / Hickory,15,115120,329
12718,Mixed Upland Hardwoods,15,949111,3291
12719,Sweetgum / Yellow-poplar,5,512092,300
12720,Sweetgum / Yellow-poplar,15,512092,300
12721,Yellow-poplar,79,30149,211
12721,Mixed Upland Hardwoods,171,949111,3291
12722,Mixed Upland Hardwoods,46,949111,3291
12723,Yellow-poplar,15,30149,211
12724,Sweetgum / Yellow-poplar,15,512092,300
12725,Mixed Upland Hardwoods,16,949111,3291
12726,Chestnut Oak,16,32022,87
12726,Mixed Upland Hardwoods,47,949111,3291
12727,Mixed Upland Hardwoods,31,949111,3291
12728,White Oak / Red Oak / Hickory,61,115120,329
12734,Mixed Upland Hardwoods,16,949111,3291
12736,Mixed Upland Hardwoods,15,949111,3291
12737,White Oak / Red Oak / Hickory,15,115120,329
12738,Mixed Upland Hardwoods,14,949111,3291
12740,Mixed Upland Hardwoods,15,949111,3291
12741,Yellow-poplar,15,30149,211
12742,Mixed Upland Hardwoods,30,949111,3291
12743,Mixed Upland Hardwoods,32,949111,3291
