patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
13390,Yellow-poplar / White Oak / Red Oak,16,16541,139
13391,Mixed Upland Hardwoods,16,949111,3291
13392,Mixed Upland Hardwoods,31,949111,3291
13394,Yellow-poplar / White Oak / Red Oak,15,16541,139
13394,Yellow-poplar,337,30149,211
13394,Mixed Upland Hardwoods,246,949111,3291
13396,Mixed Upland Hardwoods,90,949111,3291
13397,Yellow-poplar,46,30149,211
13398,Mixed Upland Hardwoods,32,949111,3291
13398,Red Maple / Upland,12,584,18
13401,Black Cherry,15,77569,93
13402,Mixed Upland Hardwoods,63,949111,3291
13403,Mixed Upland Hardwoods,15,949111,3291
13404,Mixed Upland Hardwoods,15,949111,3291
13405,Yellow-poplar,77,30149,211
13405,Mixed Upland Hardwoods,122,949111,3291
13406,Sweetgum / Yellow-poplar,32,512092,300
13406,Mixed Upland Hardwoods,524,949111,3291
13408,Red Maple / Oak,47,9392,92
13409,Mixed Upland Hardwoods,909,949111,3291
13410,Mixed Upland Hardwoods,16,949111,3291
13411,Mixed Upland Hardwoods,31,949111,3291
13412,Eastern Redcedar / Hardwood,15,1448,24
13412,Sweetgum / Yellow-poplar,30,512092,300
13413,Sweetgum / Yellow-poplar,356,512092,300
13413,Black Cherry,171,77569,93
13416,Mixed Upland Hardwoods,15,949111,3291
13422,Mixed Upland Hardwoods,62,949111,3291
13423,Yellow-poplar,15,30149,211
13423,Red Maple / Oak,16,9392,92
13423,Mixed Upland Hardwoods,16,949111,3291
13425,Mixed Upland Hardwoods,15,949111,3291
13426,Red Pine,31,1207,5
13427,White Oak / Red Oak / Hickory,31,115120,329
13427,Sweetgum / Yellow-poplar,106,512092,300
13427,Black Cherry,218,77569,93
13428,Mixed Upland Hardwoods,30,949111,3291
13429,Mixed Upland Hardwoods,15,949111,3291
13430,Mixed Upland Hardwoods,197,949111,3291
13431,Sweetgum / Yellow-poplar,16,512092,300
13432,Mixed Upland Hardwoods,15,949111,3291
13434,Mixed Upland Hardwoods,139,949111,3291
13435,White Oak / Red Oak / Hickory,47,115120,329
13435,Mixed Upland Hardwoods,31,949111,3291
13436,Mixed Upland Hardwoods,31,949111,3291
13437,Mixed Upland Hardwoods,15,949111,3291
13438,Mixed Upland Hardwoods,93,949111,3291
13439,Post Oak / Blackjack Oak,77,8206,99
13439,Yellow-poplar,15,30149,211
13439,Mixed Upland Hardwoods,343,949111,3291
13440,Yellow-poplar,233,30149,211
13442,Mixed Upland Hardwoods,446,949111,3291
13443,Mixed Upland Hardwoods,16,949111,3291
13444,Post Oak / Blackjack Oak,321,8206,99
13444,Yellow-poplar / White Oak / Red Oak,46,16541,139
13444,Mixed Upland Hardwoods,2283,949111,3291
13444,Sugar Maple / Beech / Yellow Birch,31,38274,63
13444,Red Maple / Upland,47,584,18
13445,White Oak / Red Oak / Hickory,710,115120,329
13445,Yellow-poplar / White Oak / Red Oak,15,16541,139
13445,Yellow-poplar,832,30149,211
13445,Red Maple / Oak,92,9392,92
13445,Mixed Upland Hardwoods,2074,949111,3291
13445,Sugar Maple / Beech / Yellow Birch,31,38274,63
13446,Post Oak / Blackjack Oak,121,8206,99
13446,Yellow-poplar / White Oak / Red Oak,46,16541,139
13446,Yellow-poplar,77,30149,211
13446,Mixed Upland Hardwoods,1192,949111,3291
13446,Sugar Maple / Beech / Yellow Birch,16,38274,63
13448,Mixed Upland Hardwoods,15,949111,3291
13449,Mixed Upland Hardwoods,31,949111,3291
13451,Mixed Upland Hardwoods,15,949111,3291
13452,Yellow-poplar,16,30149,211
13453,Yellow-poplar,124,30149,211
13453,Mixed Upland Hardwoods,108,949111,3291
13454,Mixed Upland Hardwoods,15,949111,3291
13456,Sweetgum / Yellow-poplar,15,512092,300
13456,Mixed Upland Hardwoods,16,949111,3291
13458,Chestnut Oak,77,32022,87
13458,Mixed Upland Hardwoods,93,949111,3291
13459,Mixed Upland Hardwoods,16,949111,3291
13462,Mixed Upland Hardwoods,14,949111,3291
13465,Mixed Upland Hardwoods,60,949111,3291
13467,Mixed Upland Hardwoods,15,949111,3291
13468,Mixed Upland Hardwoods,138,949111,3291
13469,Yellow-poplar / White Oak / Red Oak,16,16541,139
13469,Mixed Upland Hardwoods,122,949111,3291
13470,Mixed Upland Hardwoods,15,949111,3291
13472,Sweetgum / Yellow-poplar,15,512092,300
13473,Post Oak / Blackjack Oak,171,8206,99
13473,Mixed Upland Hardwoods,324,949111,3291
13474,Sweetgum / Yellow-poplar,16,512092,300
13476,Chestnut Oak,14,32022,87
13476,White Oak / Red Oak / Hickory,30,115120,329
13476,Sweetgum / Yellow-poplar,46,512092,300
13480,Post Oak / Blackjack Oak,16,8206,99
13480,Mixed Upland Hardwoods,93,949111,3291
13481,Eastern Redcedar / Hardwood,15,1448,24
13481,Mixed Upland Hardwoods,16,949111,3291
13482,Sweetgum / Yellow-poplar,15,512092,300
13483,Post Oak / Blackjack Oak,15,8206,99
13484,Mixed Upland Hardwoods,16,949111,3291
13485,White Oak / Red Oak / Hickory,110,115120,329
13485,Mixed Upland Hardwoods,78,949111,3291
13488,Chestnut Oak,46,32022,87
13488,Mixed Upland Hardwoods,16,949111,3291
13489,Mixed Upland Hardwoods,16,949111,3291
13490,Chestnut Oak,31,32022,87
13492,Mixed Upland Hardwoods,31,949111,3291
13494,Mixed Upland Hardwoods,46,949111,3291
13495,Sweetgum / Yellow-poplar,15,512092,300
13496,Mixed Upland Hardwoods,15,949111,3291
13497,Eastern Redcedar / Hardwood,31,1448,24
13499,Mixed Upland Hardwoods,14,949111,3291
13502,Post Oak / Blackjack Oak,16,8206,99
13502,Yellow-poplar,16,30149,211
13502,Mixed Upland Hardwoods,275,949111,3291
13503,Mixed Upland Hardwoods,59,949111,3291
13504,Yellow-poplar,16,30149,211
13507,Mixed Upland Hardwoods,62,949111,3291
13508,Mixed Upland Hardwoods,46,949111,3291
13511,Mixed Upland Hardwoods,31,949111,3291
13512,Mixed Upland Hardwoods,636,949111,3291
13513,Mixed Upland Hardwoods,16,949111,3291
13514,Yellow-poplar,16,30149,211
13515,Mixed Upland Hardwoods,46,949111,3291
13516,Yellow-poplar,15,30149,211
13517,Mixed Upland Hardwoods,15,949111,3291
13519,Sweetgum / Yellow-poplar,13,512092,300
13520,Sweetgum / Yellow-poplar,15,512092,300
13521,Yellow-poplar,15,30149,211
13522,Mixed Upland Hardwoods,170,949111,3291
13522,Sugar Maple / Beech / Yellow Birch,47,38274,63
13522,Red Maple / Upland,15,584,18
13523,Yellow-poplar,31,30149,211
13523,Red Maple / Oak,15,9392,92
13523,Mixed Upland Hardwoods,32,949111,3291
13524,Yellow-poplar,92,30149,211
13524,Red Maple / Oak,31,9392,92
13524,Mixed Upland Hardwoods,62,949111,3291
13528,Eastern Redcedar / Hardwood,15,1448,24
13530,White Oak / Red Oak / Hickory,46,115120,329
13530,Mixed Upland Hardwoods,15,949111,3291
13531,Mixed Upland Hardwoods,30,949111,3291
13532,Mixed Upland Hardwoods,139,949111,3291
13534,Mixed Upland Hardwoods,15,949111,3291
13535,Mixed Upland Hardwoods,15,949111,3291
13536,Mixed Upland Hardwoods,15,949111,3291
13538,Yellow-poplar / White Oak / Red Oak,16,16541,139
13539,Mixed Upland Hardwoods,16,949111,3291
13540,Mixed Upland Hardwoods,16,949111,3291
13542,Mixed Upland Hardwoods,16,949111,3291
13544,Post Oak / Blackjack Oak,310,8206,99
13544,Yellow-poplar / White Oak / Red Oak,538,16541,139
13544,Yellow-poplar,1935,30149,211
13544,Red Maple / Oak,16,9392,92
13544,Mixed Upland Hardwoods,1543,949111,3291
13544,Red Maple / Lowland,15,2511,43
13544,Sugar Maple / Beech / Yellow Birch,109,38274,63
13546,Mixed Upland Hardwoods,46,949111,3291
13548,Mixed Upland Hardwoods,15,949111,3291
13550,Mixed Upland Hardwoods,15,949111,3291
13552,Mixed Upland Hardwoods,497,949111,3291
13553,Mixed Upland Hardwoods,16,949111,3291
13554,Chestnut Oak,15,32022,87
13554,White Oak / Red Oak / Hickory,141,115120,329
13554,Mixed Upland Hardwoods,76,949111,3291
13555,Chestnut Oak,14,32022,87
13556,Eastern Hemlock,15,223,3
13560,Mixed Upland Hardwoods,77,949111,3291
13561,Mixed Upland Hardwoods,15,949111,3291
13564,Mixed Upland Hardwoods,215,949111,3291
13565,Mixed Upland Hardwoods,16,949111,3291
13566,Mixed Upland Hardwoods,16,949111,3291
13567,Sweetgum / Yellow-poplar,17,512092,300
13567,Mixed Upland Hardwoods,216,949111,3291
13568,Mixed Upland Hardwoods,600,949111,3291
13569,Mixed Upland Hardwoods,15,949111,3291
13570,Mixed Upland Hardwoods,16,949111,3291
13570,Sweetgum / Nuttall Oak / Willow Oak,14,21784,138
13571,Mixed Upland Hardwoods,15,949111,3291
13572,Mixed Upland Hardwoods,90,949111,3291
13573,Mixed Upland Hardwoods,77,949111,3291
13573,Sycamore / Pecan / American Elm,46,7296,88
13576,Chestnut Oak,92,32022,87
13576,Mixed Upland Hardwoods,62,949111,3291
13577,Mixed Upland Hardwoods,15,949111,3291
13578,Sweetgum / Yellow-poplar,14,512092,300
13578,Mixed Upland Hardwoods,16,949111,3291
13579,Yellow-poplar / White Oak / Red Oak,15,16541,139
13580,Yellow-poplar / White Oak / Red Oak,15,16541,139
13580,Yellow-poplar,169,30149,211
13580,Mixed Upland Hardwoods,91,949111,3291
13581,Mixed Upland Hardwoods,16,949111,3291
13582,Mixed Upland Hardwoods,31,949111,3291
13583,Yellow-poplar,16,30149,211
13583,Mixed Upland Hardwoods,15,949111,3291
13584,White Oak / Red Oak / Hickory,203,115120,329
13584,Mixed Upland Hardwoods,139,949111,3291
13586,Mixed Upland Hardwoods,47,949111,3291
13587,Mixed Upland Hardwoods,94,949111,3291
13588,Black Cherry,15,77569,93
13589,Black Cherry,46,77569,93
13594,Chestnut Oak,123,32022,87
13594,Mixed Upland Hardwoods,497,949111,3291
13595,Mixed Upland Hardwoods,31,949111,3291
13596,Mixed Upland Hardwoods,78,949111,3291
13597,Mixed Upland Hardwoods,61,949111,3291
13598,Post Oak / Blackjack Oak,418,8206,99
13598,Yellow-poplar / White Oak / Red Oak,124,16541,139
13598,Yellow-poplar,15,30149,211
13598,Mixed Upland Hardwoods,1807,949111,3291
13599,Mixed Upland Hardwoods,30,949111,3291
13601,Mixed Upland Hardwoods,202,949111,3291
13602,Mixed Upland Hardwoods,15,949111,3291
13604,Mixed Upland Hardwoods,47,949111,3291
13605,Mixed Upland Hardwoods,16,949111,3291
13609,Mixed Upland Hardwoods,15,949111,3291
13610,White Oak / Red Oak / Hickory,15,115120,329
13611,Sweetgum / Yellow-poplar,15,512092,300
13611,Black Cherry,15,77569,93
13614,Post Oak / Blackjack Oak,15,8206,99
13614,Mixed Upland Hardwoods,258,949111,3291
13616,Mixed Upland Hardwoods,16,949111,3291
13617,Mixed Upland Hardwoods,16,949111,3291
13619,Chestnut Oak,15,32022,87
13622,White Oak / Red Oak / Hickory,46,115120,329
13622,Yellow-poplar / White Oak / Red Oak,77,16541,139
13622,Sweetgum / Yellow-poplar,16,512092,300
13623,Mixed Upland Hardwoods,675,949111,3291
13623,Sycamore / Pecan / American Elm,14,7296,88
13624,Mixed Upland Hardwoods,15,949111,3291
13629,Mixed Upland Hardwoods,78,949111,3291
13631,Mixed Upland Hardwoods,15,949111,3291
13632,Mixed Upland Hardwoods,63,949111,3291
13633,Red Maple / Oak,16,9392,92
13633,Mixed Upland Hardwoods,92,949111,3291
13634,Mixed Upland Hardwoods,31,949111,3291
13635,Mixed Upland Hardwoods,16,949111,3291
13637,Sweetgum / Yellow-poplar,16,512092,300
13638,Mixed Upland Hardwoods,16,949111,3291
13639,Mixed Upland Hardwoods,260,949111,3291
13645,Mixed Upland Hardwoods,16,949111,3291
13646,Mixed Upland Hardwoods,31,949111,3291
13647,Chestnut Oak,76,32022,87
13647,Mixed Upland Hardwoods,93,949111,3291
13648,Mixed Upland Hardwoods,16,949111,3291
13649,Mixed Upland Hardwoods,15,949111,3291
13652,Mixed Upland Hardwoods,16,949111,3291
13653,Mixed Upland Hardwoods,16,949111,3291
13654,Virginia Pine,46,18108,91
13654,Mixed Upland Hardwoods,155,949111,3291
13656,Mixed Upland Hardwoods,30,949111,3291
13657,Mixed Upland Hardwoods,31,949111,3291
13658,Mixed Upland Hardwoods,15,949111,3291
13660,White Oak / Red Oak / Hickory,16,115120,329
13660,Mixed Upland Hardwoods,15,949111,3291
13662,Mixed Upland Hardwoods,63,949111,3291
13663,Mixed Upland Hardwoods,94,949111,3291
13666,Mixed Upland Hardwoods,16,949111,3291
13667,Mixed Upland Hardwoods,78,949111,3291
13668,White Oak / Red Oak / Hickory,16,115120,329
13668,Black Cherry,78,77569,93
13669,Sweetgum / Yellow-poplar,15,512092,300
13671,Mixed Upland Hardwoods,15,949111,3291
13672,Mixed Upland Hardwoods,16,949111,3291
13673,Mixed Upland Hardwoods,15,949111,3291
13675,Mixed Upland Hardwoods,15,949111,3291
13676,Mixed Upland Hardwoods,16,949111,3291
13679,Black Cherry,16,77569,93
13680,Mixed Upland Hardwoods,31,949111,3291
13681,Yellow-poplar,108,30149,211
13681,Mixed Upland Hardwoods,696,949111,3291
13681,Sycamore / Pecan / American Elm,109,7296,88
13682,Mixed Upland Hardwoods,92,949111,3291
13683,Sweetgum / Yellow-poplar,31,512092,300
13684,Mixed Upland Hardwoods,14,949111,3291
13685,White Oak / Red Oak / Hickory,15,115120,329
13685,Sweetgum / Yellow-poplar,1454,512092,300
13685,Mixed Upland Hardwoods,10355,949111,3291
13685,Sweetgum / Nuttall Oak / Willow Oak,15,21784,138
13685,Sycamore / Pecan / American Elm,77,7296,88
13686,Mixed Upland Hardwoods,30,949111,3291
13687,Mixed Upland Hardwoods,16,949111,3291
13690,Mixed Upland Hardwoods,16,949111,3291
13692,Sweetgum / Yellow-poplar,31,512092,300
13694,Mixed Upland Hardwoods,123,949111,3291
13697,White Oak / Red Oak / Hickory,31,115120,329
13698,Chestnut Oak,16,32022,87
13699,Mixed Upland Hardwoods,123,949111,3291
13700,Eastern Redcedar / Hardwood,15,1448,24
13700,White Oak / Red Oak / Hickory,63,115120,329
13700,White Oak,16,9348,53
13700,Sweetgum / Yellow-poplar,278,512092,300
13700,Mixed Upland Hardwoods,92,949111,3291
13700,Black Cherry,31,77569,93
13701,Yellow-poplar,61,30149,211
13701,Red Maple / Oak,31,9392,92
13701,Mixed Upland Hardwoods,417,949111,3291
13701,Sugar Maple / Beech / Yellow Birch,15,38274,63
13702,Chestnut Oak,171,32022,87
13702,White Oak / Red Oak / Hickory,30,115120,329
13702,Mixed Upland Hardwoods,2563,949111,3291
13703,Mixed Upland Hardwoods,1048,949111,3291
13704,Mixed Upland Hardwoods,306,949111,3291
13706,Yellow-poplar,16,30149,211
13708,Mixed Upland Hardwoods,16,949111,3291
13712,Post Oak / Blackjack Oak,137,8206,99
13712,Yellow-poplar / White Oak / Red Oak,77,16541,139
13712,Yellow-poplar,323,30149,211
13712,Mixed Upland Hardwoods,627,949111,3291
13712,Sugar Maple / Beech / Yellow Birch,45,38274,63
13713,Yellow-poplar / White Oak / Red Oak,16,16541,139
13713,Mixed Upland Hardwoods,15,949111,3291
13714,Mixed Upland Hardwoods,186,949111,3291
13715,Mixed Upland Hardwoods,31,949111,3291
13716,Mixed Upland Hardwoods,31,949111,3291
13717,Sycamore / Pecan / American Elm,16,7296,88
13718,Mixed Upland Hardwoods,30,949111,3291
13719,Mixed Upland Hardwoods,16,949111,3291
13720,Yellow-poplar,15,30149,211
13722,Sweetgum / Yellow-poplar,30,512092,300
13722,Black Cherry,15,77569,93
13724,Mixed Upland Hardwoods,15,949111,3291
13726,Yellow-poplar,15,30149,211
13727,Mixed Upland Hardwoods,15,949111,3291
13728,Mixed Upland Hardwoods,15,949111,3291
13729,Mixed Upland Hardwoods,390,949111,3291
13730,Mixed Upland Hardwoods,31,949111,3291
13732,Chestnut Oak,15,32022,87
13733,Mixed Upland Hardwoods,15,949111,3291
13737,Sweetgum / Yellow-poplar,16,512092,300
13738,Mixed Upland Hardwoods,16,949111,3291
13739,Mixed Upland Hardwoods,15,949111,3291
13740,Sweetgum / Yellow-poplar,46,512092,300
13741,Mixed Upland Hardwoods,16,949111,3291
13742,White Oak / Red Oak / Hickory,16,115120,329
13742,Mixed Upland Hardwoods,324,949111,3291
13742,Sycamore / Pecan / American Elm,63,7296,88
13743,Mixed Upland Hardwoods,16,949111,3291
13745,Mixed Upland Hardwoods,124,949111,3291
13746,Mixed Upland Hardwoods,17,949111,3291
13747,Mixed Upland Hardwoods,46,949111,3291
13748,Mixed Upland Hardwoods,30,949111,3291
13749,Mixed Upland Hardwoods,31,949111,3291
13749,Sycamore / Pecan / American Elm,62,7296,88
13750,Mixed Upland Hardwoods,15,949111,3291
13751,Mixed Upland Hardwoods,108,949111,3291
13752,Mixed Upland Hardwoods,15,949111,3291
13754,Mixed Upland Hardwoods,31,949111,3291
13755,Mixed Upland Hardwoods,451,949111,3291
13756,Mixed Upland Hardwoods,123,949111,3291
13757,Mixed Upland Hardwoods,31,949111,3291
13759,Eastern Redcedar / Hardwood,16,1448,24
13759,Sweetgum / Yellow-poplar,16,512092,300
13761,Mixed Upland Hardwoods,513,949111,3291
13762,Mixed Upland Hardwoods,32,949111,3291
13763,Sweetgum / Yellow-poplar,16,512092,300
13764,Sycamore / Pecan / American Elm,16,7296,88
13765,Mixed Upland Hardwoods,62,949111,3291
13766,Yellow-poplar / White Oak / Red Oak,16,16541,139
13766,Mixed Upland Hardwoods,14,949111,3291
13767,Mixed Upland Hardwoods,16,949111,3291
13768,Mixed Upland Hardwoods,15,949111,3291
13769,Mixed Upland Hardwoods,46,949111,3291
13770,Mixed Upland Hardwoods,30,949111,3291
13774,Mixed Upland Hardwoods,47,949111,3291
13775,Yellow-poplar / White Oak / Red Oak,78,16541,139
13775,Yellow-poplar,124,30149,211
13776,Mixed Upland Hardwoods,30,949111,3291
13777,Mixed Upland Hardwoods,31,949111,3291
13779,Mixed Upland Hardwoods,233,949111,3291
13782,White Oak / Red Oak / Hickory,780,115120,329
13782,Yellow-poplar / White Oak / Red Oak,46,16541,139
13782,Sweetgum / Yellow-poplar,15,512092,300
13782,Mixed Upland Hardwoods,2222,949111,3291
13784,Mixed Upland Hardwoods,125,949111,3291
13785,Chestnut Oak,93,32022,87
13785,Mixed Upland Hardwoods,32,949111,3291
13787,Mixed Upland Hardwoods,30,949111,3291
13789,Mixed Upland Hardwoods,16,949111,3291
13790,Mixed Upland Hardwoods,293,949111,3291
13791,Post Oak / Blackjack Oak,16,8206,99
13791,Mixed Upland Hardwoods,243,949111,3291
13796,Yellow-poplar / White Oak / Red Oak,15,16541,139
13801,White Oak / Red Oak / Hickory,78,115120,329
13801,Mixed Upland Hardwoods,558,949111,3291
13802,Mixed Upland Hardwoods,62,949111,3291
13803,White Oak / Red Oak / Hickory,275,115120,329
13803,Mixed Upland Hardwoods,1341,949111,3291
13803,Sycamore / Pecan / American Elm,91,7296,88
13804,Yellow-poplar,15,30149,211
13805,Yellow-poplar,15,30149,211
13805,Mixed Upland Hardwoods,32,949111,3291
13806,Mixed Upland Hardwoods,15,949111,3291
13807,Black Cherry,46,77569,93
13808,Mixed Upland Hardwoods,16,949111,3291
13810,Mixed Upland Hardwoods,30,949111,3291
13811,Mixed Upland Hardwoods,62,949111,3291
13813,Sweetgum / Yellow-poplar,15,512092,300
13814,Mixed Upland Hardwoods,61,949111,3291
13816,Mixed Upland Hardwoods,16,949111,3291
13817,Mixed Upland Hardwoods,494,949111,3291
13817,Sycamore / Pecan / American Elm,30,7296,88
13818,Mixed Upland Hardwoods,31,949111,3291
13819,Mixed Upland Hardwoods,0,949111,3291
13820,Sweetgum / Yellow-poplar,15,512092,300
13822,Mixed Upland Hardwoods,92,949111,3291
13823,Mixed Upland Hardwoods,13,949111,3291
13824,Mixed Upland Hardwoods,171,949111,3291
13826,Sweetgum / Yellow-poplar,16,512092,300
13826,Mixed Upland Hardwoods,32,949111,3291
13828,Sycamore / Pecan / American Elm,15,7296,88
13829,Mixed Upland Hardwoods,47,949111,3291
13830,Mixed Upland Hardwoods,32,949111,3291
13832,Yellow-poplar,30,30149,211
13832,Mixed Upland Hardwoods,31,949111,3291
13833,Yellow-poplar / White Oak / Red Oak,181,16541,139
13833,Yellow-poplar,107,30149,211
13833,Mixed Upland Hardwoods,169,949111,3291
13836,White Oak,14,9348,53
13837,Sweetgum / Yellow-poplar,15,512092,300
13838,Mixed Upland Hardwoods,31,949111,3291
13841,Mixed Upland Hardwoods,108,949111,3291
13843,Mixed Upland Hardwoods,15,949111,3291
13846,Mixed Upland Hardwoods,47,949111,3291
13847,Mixed Upland Hardwoods,15,949111,3291
13848,Mixed Upland Hardwoods,107,949111,3291
13848,Sycamore / Pecan / American Elm,46,7296,88
13850,Black Cherry,15,77569,93
13852,Black Cherry,15,77569,93
13855,Mixed Upland Hardwoods,15,949111,3291
13856,Post Oak / Blackjack Oak,31,8206,99
13856,Yellow-poplar / White Oak / Red Oak,185,16541,139
13856,Yellow-poplar,265,30149,211
13856,Mixed Upland Hardwoods,31,949111,3291
13857,Mixed Upland Hardwoods,32,949111,3291
13859,Post Oak / Blackjack Oak,46,8206,99
13859,Mixed Upland Hardwoods,249,949111,3291
13859,Red Maple / Lowland,15,2511,43
13860,Mixed Upland Hardwoods,31,949111,3291
13862,Sweetgum / Yellow-poplar,15,512092,300
13862,Black Cherry,16,77569,93
13863,Sweetgum / Yellow-poplar,15,512092,300
13865,Mixed Upland Hardwoods,772,949111,3291
13865,Sugar Maple / Beech / Yellow Birch,15,38274,63
13867,Sweetgum / Yellow-poplar,15,512092,300
13867,Mixed Upland Hardwoods,16,949111,3291
13867,Sweetgum / Nuttall Oak / Willow Oak,48,21784,138
13868,Sweetgum / Yellow-poplar,16,512092,300
13870,Mixed Upland Hardwoods,16,949111,3291
13871,Mixed Upland Hardwoods,16,949111,3291
13872,Black Cherry,15,77569,93
13873,Post Oak / Blackjack Oak,218,8206,99
13873,Yellow-poplar / White Oak / Red Oak,61,16541,139
13873,Yellow-poplar,61,30149,211
13873,Mixed Upland Hardwoods,2902,949111,3291
13873,Cottonwood,63,1175,15
13874,White Oak / Red Oak / Hickory,167,115120,329
13874,Mixed Upland Hardwoods,1024,949111,3291
13875,Mixed Upland Hardwoods,16,949111,3291
13879,Post Oak / Blackjack Oak,15,8206,99
13879,Mixed Upland Hardwoods,92,949111,3291
13880,Virginia Pine / Southern Red Oak,15,19632,66
13880,Mixed Upland Hardwoods,111,949111,3291
13881,Sweetgum / Nuttall Oak / Willow Oak,16,21784,138
13882,Mixed Upland Hardwoods,16,949111,3291
13885,Mixed Upland Hardwoods,15,949111,3291
13886,Sweetgum / Yellow-poplar,16,512092,300
13889,Mixed Upland Hardwoods,15,949111,3291
13890,Mixed Upland Hardwoods,15,949111,3291
13891,Mixed Upland Hardwoods,16,949111,3291
13892,Mixed Upland Hardwoods,16,949111,3291
13893,Chestnut Oak,15,32022,87
13893,Mixed Upland Hardwoods,16,949111,3291
13894,Post Oak / Blackjack Oak,32,8206,99
13894,White Oak / Red Oak / Hickory,31,115120,329
13894,Yellow-poplar / White Oak / Red Oak,369,16541,139
13894,Yellow-poplar,47,30149,211
13894,Mixed Upland Hardwoods,541,949111,3291
13895,Post Oak / Blackjack Oak,16,8206,99
13895,Mixed Upland Hardwoods,341,949111,3291
13897,Mixed Upland Hardwoods,15,949111,3291
13899,Mixed Upland Hardwoods,17,949111,3291
13901,Post Oak / Blackjack Oak,140,8206,99
13901,Yellow-poplar / White Oak / Red Oak,30,16541,139
13901,Yellow-poplar,15,30149,211
13901,Mixed Upland Hardwoods,758,949111,3291
13901,Cottonwood,78,1175,15
13903,Mixed Upland Hardwoods,16,949111,3291
13904,Mixed Upland Hardwoods,15,949111,3291
13905,Mixed Upland Hardwoods,15,949111,3291
13906,Post Oak / Blackjack Oak,31,8206,99
13906,Mixed Upland Hardwoods,16,949111,3291
13907,Mixed Upland Hardwoods,141,949111,3291
13908,White Oak / Red Oak / Hickory,32,115120,329
13908,Mixed Upland Hardwoods,215,949111,3291
13909,Mixed Upland Hardwoods,47,949111,3291
13910,Mixed Upland Hardwoods,31,949111,3291
13911,Mixed Upland Hardwoods,16,949111,3291
13915,Mixed Upland Hardwoods,31,949111,3291
13916,Mixed Upland Hardwoods,15,949111,3291
13917,Mixed Upland Hardwoods,16,949111,3291
13918,Mixed Upland Hardwoods,15,949111,3291
13923,Black Locust,16,840,24
13925,Post Oak / Blackjack Oak,15,8206,99
13925,Mixed Upland Hardwoods,181,949111,3291
13926,White Oak / Red Oak / Hickory,32,115120,329
13926,Sweetgum / Yellow-poplar,61,512092,300
13926,Mixed Upland Hardwoods,540,949111,3291
13927,Mixed Upland Hardwoods,16,949111,3291
13929,Mixed Upland Hardwoods,15,949111,3291
13930,Mixed Upland Hardwoods,61,949111,3291
13932,Mixed Upland Hardwoods,202,949111,3291
13934,Mixed Upland Hardwoods,78,949111,3291
13935,Mixed Upland Hardwoods,31,949111,3291
13937,Chestnut Oak,126,32022,87
13937,Mixed Upland Hardwoods,124,949111,3291
13938,Mixed Upland Hardwoods,15,949111,3291
13939,Mixed Upland Hardwoods,61,949111,3291
13942,Mixed Upland Hardwoods,61,949111,3291
13943,Red Maple / Upland,16,584,18
13944,Mixed Upland Hardwoods,32,949111,3291
13946,Black Locust,16,840,24
13947,Mixed Upland Hardwoods,31,949111,3291
13948,Mixed Upland Hardwoods,16,949111,3291
13951,Black Locust,15,840,24
13951,Mixed Upland Hardwoods,15,949111,3291
13952,Mixed Upland Hardwoods,124,949111,3291
13954,Mixed Upland Hardwoods,31,949111,3291
13956,Mixed Upland Hardwoods,30,949111,3291
13959,Mixed Upland Hardwoods,121,949111,3291
13960,Mixed Upland Hardwoods,15,949111,3291
13962,Mixed Upland Hardwoods,16,949111,3291
13963,Mixed Upland Hardwoods,77,949111,3291
13966,Mixed Upland Hardwoods,16,949111,3291
13967,Other Pine / Hardwood,30,1298,10
13968,Eastern Redcedar,61,283,7
13968,White Oak / Red Oak / Hickory,188,115120,329
13968,Yellow-poplar / White Oak / Red Oak,62,16541,139
13968,Mixed Upland Hardwoods,369,949111,3291
13969,Mixed Upland Hardwoods,15,949111,3291
13972,Mixed Upland Hardwoods,15,949111,3291
13975,Mixed Upland Hardwoods,16,949111,3291
13978,Mixed Upland Hardwoods,15,949111,3291
13982,Loblolly Pine,47,357234,750
13982,White Oak / Red Oak / Hickory,16,115120,329
13982,Mixed Upland Hardwoods,451,949111,3291
13983,Sycamore / Pecan / American Elm,15,7296,88
13985,Mixed Upland Hardwoods,16,949111,3291
13986,Mixed Upland Hardwoods,61,949111,3291
13987,Mixed Upland Hardwoods,140,949111,3291
13988,Mixed Upland Hardwoods,75,949111,3291
13989,Sweetgum / Yellow-poplar,15,512092,300
13990,Mixed Upland Hardwoods,248,949111,3291
13990,Sycamore / Pecan / American Elm,155,7296,88
13998,Mixed Upland Hardwoods,15,949111,3291
13999,Mixed Upland Hardwoods,16,949111,3291
14001,Mixed Upland Hardwoods,15,949111,3291
14007,Mixed Upland Hardwoods,16,949111,3291
14009,Post Oak / Blackjack Oak,16,8206,99
14009,Mixed Upland Hardwoods,61,949111,3291
14010,Yellow-poplar / White Oak / Red Oak,46,16541,139
14010,Yellow-poplar,15,30149,211
14010,Mixed Upland Hardwoods,30,949111,3291
14011,Mixed Upland Hardwoods,15,949111,3291
14013,Black Cherry,15,77569,93
14015,Mixed Upland Hardwoods,30,949111,3291
14017,Virginia Pine / Southern Red Oak,15,19632,66
14017,White Oak / Red Oak / Hickory,31,115120,329
14017,Sweetgum / Yellow-poplar,32,512092,300
